transaction_id,user_id,amount,transaction_type,merchant_category,country,hour,device_risk_score,ip_risk_score,is_fraud
9608,363,4922.587542,ATM,Travel,TR,12,0.9923465237,0.9479076766,1
456,692,48.01830286,QR,Food,US,21,0.1685712394,0.2240574035,0
4747,587,136.88196,Online,Travel,TR,14,0.2961272488,0.1250576924,0
6934,445,80.53471896,POS,Clothing,TR,23,0.1248009784,0.1592425052,0
1646,729,120.0411582,Online,Grocery,FR,16,0.09812895371,0.02754196922,0
2183,944,97.10862458,POS,Clothing,DE,17,0.2353994324,0.1054540511,0
1919,829,166.2092619,Online,Travel,UK,12,0.1159059086,0.2237178434,0
3479,845,96.51263663,Online,Grocery,US,7,0.08225043329,0.03402301013,0
6796,129,83.33870063,QR,Food,DE,16,0.02177444136,0.2795975065,0
5129,249,89.69573135,QR,Grocery,UK,6,0.09535343717,0.1363364134,0
7402,701,101.4038267,QR,Travel,FR,7,0.1647939348,0.2919396246,0
6188,116,106.5634436,QR,Food,DE,23,0.1362359686,0.1358305529,0
8538,679,55.36360145,Online,Food,US,10,0.07430426367,0.1287602547,0
8410,559,99.41209708,Online,Food,DE,10,0.08477355164,0.01433368864,0
8201,564,94.54560514,ATM,Clothing,TR,20,0.1334897274,0.1620098345,0
2187,336,133.4106627,POS,Food,UK,19,0.08313216365,0.2860201892,0
5666,166,157.9981233,QR,Electronics,FR,19,0.2075330047,0.01996165722,0
1419,288,202.9958954,QR,Grocery,TR,23,0.1565442993,0.08275756653,0
6484,984,88.50981483,QR,Travel,UK,19,0.1478030298,0.2064802039,0
2480,137,115.3065595,Online,Food,FR,14,0.206384378,0.06876635332,0
2818,893,63.99286999,QR,Travel,FR,12,0.04374362149,0.2228466121,0
8826,620,113.3057512,ATM,Clothing,TR,9,0.1421629827,0.03488554332,0
8257,600,131.9634974,Online,Clothing,FR,18,0.03989732745,0.04451144238,0
9933,121,4284.177967,ATM,Food,TR,12,0.7378542343,0.7310706966,1
9035,358,76.69547979,POS,Grocery,TR,7,0.09397596615,0.1849988394,0
7468,688,138.6417025,POS,Electronics,TR,17,0.1080456295,0.2096710068,0
464,832,133.2635753,Online,Travel,DE,15,0.05743408766,0.09218882146,0
599,155,17.55120811,POS,Electronics,FR,7,0.01246941956,0.1750715829,0
3094,200,1,POS,Food,US,9,0.1065835523,0.180465035,0
8745,865,154.7180429,Online,Grocery,FR,9,0.1640808975,0.03092037722,0
2730,375,103.7813389,ATM,Grocery,US,17,0.2061667497,0.1443677662,0
4155,826,54.19831276,ATM,Grocery,TR,22,0.0920109879,0.01083811749,0
4298,847,91.65205847,QR,Food,TR,18,0.2663406895,0.1302051708,0
9139,769,135.3354235,POS,Grocery,FR,16,0.0731185041,0.08330499402,0
3983,271,64.96868149,POS,Grocery,TR,16,0.01990412981,0.2453589853,0
8777,568,117.1648845,POS,Food,DE,10,0.1274318614,0.2934155658,0
2140,719,174.5891082,Online,Clothing,FR,6,0.1654247258,0.2109866241,0
3084,161,98.82222999,ATM,Food,TR,19,0.1993176693,0.0508497547,0
7706,557,101.6373824,POS,Food,TR,15,0.07841237101,0.1608796427,0
7574,421,138.3272376,POS,Electronics,FR,8,0.2640777761,0.1512479525,0
4233,561,118.6259834,ATM,Travel,FR,15,0.01863146105,0.05695733237,0
3826,920,109.3592014,ATM,Electronics,TR,8,0.05952247911,0.02968987267,0
8966,430,140.4680036,POS,Grocery,US,9,0.011949905,0.101848813,0
5329,968,120.1175994,POS,Clothing,FR,19,0.08275895115,0.2299784061,0
6819,927,50.68069644,POS,Travel,TR,12,0.2844115003,0.2144245321,0
1711,813,173.9763602,ATM,Electronics,TR,9,0.003056771783,0.09095194238,0
8484,879,53.25379593,POS,Electronics,FR,19,0.2647985062,0.09667006134,0
7710,984,26.69304334,Online,Electronics,US,17,0.2521844631,0.1027052956,0
4048,798,79.42255258,ATM,Food,US,8,0.01312104577,0.1470069861,0
4570,566,3.625878623,POS,Food,US,20,0.218252273,0.2374910586,0
5474,94,123.1393693,Online,Food,UK,12,0.2171114882,0.05783471436,0
4669,656,90.12027156,Online,Clothing,US,19,0.15954776,0.2543958334,0
2459,900,49.77455845,QR,Electronics,DE,10,0.2638938638,0.06520393877,0
8065,822,91.05626976,Online,Clothing,FR,16,0.1377325482,0.2797528842,0
2577,71,127.5826134,QR,Clothing,UK,15,0.21876076,0.1226037875,0
3055,29,115.1338447,Online,Clothing,US,12,0.2273141317,0.2435908853,0
7148,370,159.5444268,Online,Electronics,DE,15,0.1882386572,0.2722497398,0
7100,122,5.482909887,ATM,Grocery,FR,15,0.04514825351,0.1057934501,0
9046,904,139.8297151,Online,Travel,DE,18,0.03151037216,0.1687592612,0
6599,550,122.5953099,Online,Clothing,US,13,0.004126559839,0.126611798,0
7821,289,165.5441363,Online,Electronics,UK,18,0.07036328274,0.22769297,0
4263,81,132.9033788,POS,Electronics,FR,10,0.09340228056,0.1684848877,0
2421,851,47.64250861,POS,Electronics,FR,22,0.1673007578,0.05142108415,0
9424,180,101.8452669,ATM,Food,DE,23,0.2474308323,0.07494734649,0
858,422,107.1882322,ATM,Grocery,FR,23,0.17919455,0.07018595389,0
2617,886,91.43583378,QR,Grocery,TR,16,0.2389992556,0.2610743228,0
6602,687,138.7089759,Online,Electronics,UK,7,0.06439623093,0.07296019034,0
7364,864,103.362998,POS,Grocery,DE,14,0.1134908952,0.2005185478,0
8924,383,115.4729998,ATM,Travel,UK,9,0.2455626136,0.04041258247,0
5516,236,108.868967,ATM,Clothing,TR,17,0.008884435877,0.06355318886,0
430,644,101.3627816,ATM,Travel,FR,6,0.02568504719,0.1665511851,0
780,963,124.6119732,Online,Travel,FR,10,0.05065553889,0.05828465839,0
3134,313,136.8206872,ATM,Clothing,FR,6,0.1177676393,0.01194046118,0
6656,225,96.46399755,POS,Grocery,TR,21,0.01093849474,0.01741558779,0
1619,469,11.67006403,POS,Travel,UK,15,0.01027381504,0.1449002648,0
6718,671,76.32103401,POS,Grocery,TR,6,0.1315186394,0.2124975401,0
4444,573,46.34745206,QR,Food,UK,19,0.1899341999,0.1057544734,0
4224,49,55.52541298,ATM,Food,FR,6,0.08191691217,0.1377486654,0
4045,196,169.0403294,POS,Food,TR,15,0.07522785525,0.2474212584,0
8807,399,136.9700908,Online,Food,UK,21,0.2678971293,0.1590627707,0
5198,935,91.08125402,Online,Travel,UK,20,0.1681825773,0.1089065344,0
4094,466,209.804478,QR,Food,DE,19,0.1318268787,0.1122927258,0
9468,739,50.13743828,POS,Clothing,US,12,0.1116919021,0.2071592207,0
8627,507,101.9242764,ATM,Food,DE,7,0.1227364907,0.05610323622,0
9637,560,1148.378114,POS,Travel,DE,19,0.9457090365,0.8356164712,1
4098,541,123.5764242,Online,Clothing,US,7,0.2138955716,0.2250940693,0
4554,390,184.844491,POS,Food,US,13,0.0228809153,0.2030070771,0
9711,935,952.5479054,QR,Travel,UK,20,0.7836105783,0.9855213091,1
5481,532,104.4178996,Online,Food,FR,6,0.1916519243,0.105711992,0
9939,291,2865.421641,ATM,Food,TR,13,0.8348428961,0.9043038262,1
2670,770,94.9940299,QR,Travel,DE,8,0.06690341363,0.05035060545,0
6904,310,1,POS,Food,DE,14,0.1105089221,0.2025404875,0
5261,594,32.68619384,POS,Food,UK,17,0.1457751823,0.06662461545,0
5119,413,78.25866044,ATM,Clothing,UK,17,0.2390064359,0.1289880463,0
1286,384,87.00080374,POS,Travel,TR,17,0.1745919315,0.00386516284,0
3477,282,122.4198508,Online,Electronics,FR,13,0.2458539319,0.1852440355,0
7000,992,74.89142466,POS,Grocery,UK,6,0.245766591,0.04509822001,0
4910,471,200.5075425,QR,Food,US,20,0.1774556849,0.01250731094,0
7867,362,97.60850769,POS,Clothing,FR,9,0.001520291651,0.255209491,0
2909,26,111.9967639,QR,Grocery,UK,11,0.05999368418,0.02567378768,0
3556,116,84.72038662,Online,Grocery,DE,6,0.1010236789,0.1993266304,0
1062,438,104.4550383,POS,Electronics,DE,16,0.188332128,0.1885833864,0
7850,966,96.87859313,QR,Travel,DE,6,0.2919247991,0.03906249983,0
3658,332,75.07009822,ATM,Grocery,DE,20,0.102213305,0.2791777912,0
5505,192,36.12910259,ATM,Food,US,7,0.08926498933,0.05852493768,0
8275,596,102.7431644,Online,Travel,US,23,0.003356228863,0.114691779,0
7595,666,90.70496524,POS,Electronics,US,7,0.2419137647,0.11445806,0
9723,631,2830.433626,POS,Clothing,US,4,0.9251573393,0.7427565817,1
5772,258,95.9253067,ATM,Travel,US,10,0.1604574221,0.1205271504,0
5378,707,146.7335079,Online,Food,DE,6,0.2912353971,0.194938238,0
6053,258,65.08888838,POS,Electronics,FR,11,0.1454358604,0.2927562038,0
7396,309,103.4943998,POS,Food,UK,13,0.281913234,0.1661318152,0
20,733,133.631288,POS,Clothing,US,16,0.1866851325,0.2734289398,0
170,590,58.46892097,QR,Clothing,FR,12,0.0379919707,0.06748148454,0
641,605,82.70095845,POS,Travel,US,20,0.1573565256,0.1892699535,0
3354,920,82.75751238,Online,Food,UK,23,0.2933566782,0.2038087684,0
